program,memmap_bytes,sections_csv_excluded_bytes
odr-dabmux-git-odr-dabmux,14523469,1045842
vtk-libvtkCommonCore.so.1,29795890,3484458
quassel-core-lighter-git-libquassel-core.so.0.13.90,15348404,983253
qnapi-git-qnapi,8496238,401468
intel-compute-runtime-libze_intel_gpu.so.1.1.0,14449545,879847
c10t-git-c10t,5825281,381904
ugene-git-libU2Formats.so,28553741,523368
jtaghal-git-libjtaghal.so,11362663,629184
cc-tool-git-cc-tool,6176935,404055
nco-git-ncks,13607629,293612
hyne-git-hyne,9266780,350046
sfcgal-git-example-CGAL-basic_manip,7709568,489272
vtk-libvtkFiltersCorePython39D.so.1,7022156,928118
icestorm-git-icetime,19335158,265378
xcfun-git-libxcfun.so.2,59509093,898134
iempluginsuite-ProbeDecoder.so,29119021,1045272
k3b-git-k3b,21961393,899182
capnproto-git-libkj-async.so.0.9-dev,8153553,371661
android-file-transfer-linux-git-android-file-transfer,8254479,531561
argyllcms-printcal,11792690,307109
sprycloud-client-git-libsprycloudsync.so.3.1.3,14792145,366888
orion-git-orion,7373058,506856
pcem-git-pcem,48211887,1957839
rtklib-emlid-git-rtkconv_qt,11371064,352242
saaghar-git-saaghar,16518033,732061
efl-git-elementary_test,6595910,138647
quiterss-git-quiterss,25438820,1017494
dino-git-dino,7377439,336620
luminancehdr-luminance-hdr-cli,14739899,888694
scantailor-advanced-scantailor,27027972,1114226
lxc-git-lxc-autostart,8806191,337495
gargoyle-git-tadsr,21506217,1161753
pgmodeler-git-libcore.so.1.0.0,20738256,408626
libretro-stella-git-stella_libretro.so,27733643,2152654
armips-git-armips,11469164,841636
g2o-git-libg2o_solver_pcg.so,6754227,316260
sane-git-libsane-genesys.so.1.0.32,16677745,279420
dyninst-git-libcommon.so.11.0.1,9716379,306559
argyllcms-collink,13273137,301465
mate-panel-git-mate-panel,5612967,272290
re2c-git-re2c,10870562,464203
ugene-git-libU2Algorithm.so,11033575,243241
vice-vsid,15857303,915951
audacious-plugins-git-xsf.so,5933687,325578
usd-_pcp.so,7021125,335728
aom-git-libaom.so.3.1.1,41913981,761719
capnproto-git-libkj-http.so.0.9-dev,7858353,347825
liquid-dsp-quiet-devel-git-libliquid.so,7932751,173033
sagemath-expression.cpython-39-x86_64-linux-gnu.so,11421871,283174
numworks-epsilon-git-numworks-epsilon,39741696,2945541
phyml-git-phyml,15279509,385114
melonds-git-melonDS,25208230,1520688
mve-git-dmrecon,7901207,486861
icu-git-libicuuc.so.70.0.1,17662886,917378
k3b-git-libk3blib.so.7.0.0,18080098,668686
capnproto-git-libcapnp-rpc.so.0.9-dev,9204160,377712
dcmtk-git-libdcmimgle.so.16.3.6.6,19135786,222850
