program,memmap_bytes,sections_csv_excluded_bytes
legacy.so,1619389,238803
nmap,733455968,50987794
hello,50334575,3459971
dasync.so,4036464,684770
freshclam,780872373,46305872
minigzipsh,1782888,255934
sigtool,802619501,46412896
fips.so,286315491,16392439
ossltest.so,4130559,624480
z3,10676396789,794007091
padlock.so,2168029,246813
busybox,253000043,18283017
libcrypto.so.3,1291757418,86555287
minigzip64,45571131,1356874
openssl,258100771,16007240
afalg.so,3673645,417851
clambc,9510852,509410
clamconf,10144067,486589
ncat,233138739,13512635
libz.so.1.2.11,49457950,1176489
unrar,147968763,8066366
libclamav.so.9.0.0,1786511073,72091510
capi.so,145967,42634
nping,334493773,19429243
minigzip,45561527,1356857
curl,315948924,12180049
libssl.so.3,259183047,13992413
clamscan,18525126,929553
