program,memmap_bytes,sections_csv_excluded_bytes
libgmp.so.10.5.0,81550387,2254531
6cb02931_pzstd,814777,112210
83982ee7_pzstd,960053,114784
libbz2.so.1.0.8,395747819,3375470
a08c82c7_pzstd,1100620,82624
332ff2c4_pzstd,1048483,139993
flac,1226477834,52207757
ed,821530019,64988823
libsnappy.so.1.2.2,49605959,3018546
888ad62b_pzstd,983106,118408
libmujs.so,1179900497,50153096
zstd,98387773,7067550
49df51d9_pzstd,905708,26047
lzmadec,95827081,9022697
c880fb28_pzstd,1099458,96666
2589c7c8_pzstd,795225,110500
b3344bfe_pzstd,1007295,35031
c6c21802_pzstd,954006,114669
pcre2grep,26557058,3869415
1d419f8d_pzstd,817729,113124
libgmpxx.so.4.7.0,4424730,460364
libbrotlidec.so.1.2.0,50382101,215312
020d16e0_pzstd,811513,112215
d4e15764_pzstd,1120677,84781
lzmainfo,102840822,9163804
2fd83ea0_pzstd,959157,114784
metaflac,366450454,22966964
1f4d6280_pzstd,1313877,133479
png-fix-itxt,14944701,3276539
libb2.so.1.0.4,398242372,4551392
df4d6e8f_pzstd,821277,113357
xz,748642883,52292273
4b796f1f_pzstd,959157,114784
libduktape.so.207.20700,3326262011,162148949
106088dd_pzstd,1134155,88622
14ff2803_pzstd,806038,111672
a0629bf7_pzstd,799625,110262
sqlite3,9904957346,344047927
8f243a55_pzstd,784168,106608
ae68b874_pzstd,959238,114703
libbrotlienc.so.1.2.0,874316829,7065193
libsqlite3.so.3.51.2,8252341922,281526142
libpcre2-8.so.0.14.0,635107304,11680791
dash,1597741472,107821489
27940ac0_pzstd,924519,107720
liblz4.so.1.10.0,1058761060,11868343
bzip2recover,155313522,13745414
d907b303_pzstd,1158742,88844
bacbc6a6_pzstd,806038,111672
mawk,1905950097,89188242
brotli,50639762,7065076
c1cd5d37_pzstd,960181,114784
86bcf8a4_pzstd,801189,110494
e8f479f0_pzstd,1226491,126996
bc,1006804442,55637425
ee4bc5ff_pzstd,821111,113338
6d6167ea_pzstd,1049635,139993
liblzma.so.5.8.3,556778694,16803042
pngfix,25253841,3530226
libxxhash.so.0.8.3,75046077,2713059
libpcre2-16.so.0.14.0,597322555,11427306
libyaml-0.so.2.0.9,657166188,11239053
bzip2,360039432,27597375
bzip3,352663096,21419450
dc,364691477,25415489
libre2.so.11.0.0,538583532,48373599
842fa249_pzstd,917265,29597
f9039e27_pzstd,3038520,294871
08c61272_pzstd,817338,113393
lz4,3387235964,92133926
libsimdjson.so.33.0.0,161193220,16076254
duk,3281533542,186232642
c45500d0_pzstd,1053954,140047
41482af4_pzstd,833540,116731
8b59a801_pzstd,960053,114784
libFLAC.so.14.0.0,1745727827,36594530
3b0b09d9_pzstd,960101,114786
5cc82deb_pzstd,959877,114711
67986dab_pzstd,784018,106589
fadbea88_pzstd,954006,114669
libpng16.so.16.56.0,95730771,1858127
cbacadec_pzstd,811478,112233
libcjson.so.1.7.19,44959074,3677616
5b1a75d3_pzstd,817383,113396
6e8415b6_pzstd,985107,118334
xmlwf,204847686,18337540
xmlcatalog,157092823,13001205
xzdec,95027807,8984275
libsqlite3.51.2.so,8492497513,287404802
f03ea99d_pzstd,1169457,94935
libexpat.so.1.11.3,709863975,18075100
f13a58b6_pzstd,784618,106567
7b689da0_pzstd,1075948,76122
e98ef83f_pzstd,817354,113393
3c529171_pzstd,665816,99572
d1227868_pzstd,959270,114703
mujs-pp,1363578993,71355050
libpcre2-32.so.0.14.0,576184836,10920699
11c67ddb_pzstd,801031,110075
libFLAC++.so.11.0.0,46946584,7531454
f3f3af65_pzstd,819135,113513
44a32815_pzstd,1139639,86766
libduktaped.so.207.20700,3369120110,165819112
4dd87e61_pzstd,822627,115021
49600658_pzstd,806528,111399
libzstd.so.1.5.7,734245032,15477261
23caa175_pzstd,923081,107710
3b141098_pzstd,844404,116748
4170d95c_pzstd,989283,118381
c961d890_pzstd,794166,108775
xmllint,304006269,20326864
3f093b14_pzstd,819119,113513
libjson-c.so.5.4.0,74840382,4362986
libdav1d.so.7.0.0,624437699,40614894
7f8233b5_pzstd,983090,118392
4c317b8a_pzstd,682954,105057
f1e49b35_pzstd,924519,107720
0abe0ad0_pzstd,813046,112234
m4,3499803018,181854430
libz.so.1.3.2,435943923,8534040
a1511b4e_pzstd,959372,114722
libbzip3.so.1.0.0,322960306,4478716
42c2b695_pzstd,983971,118334
libonig.so.5.5.0,2593849423,96395222
pzstd,19376191,4707756
liblzo2.so.2.0.0,576461535,6103549
pcre2test,60005996,4571859
xxhsum,239865274,22327268
ef84d180_pzstd,817767,113412
mujs,1759875005,108474803
4e565d1c_pzstd,810998,112213
d8672709_pzstd,811617,25977
